search_term,bls_n,bls_women,search_n,search_women,bls_p_women,search_p_women,Answer.typeofpeople,Answer.howmany,multiple_onegender,image_gender,image_url,source_url,order,search_provider
pharmacist,286000,153582,78,45,0.537,0.576923077,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=V7rxOqXwKQYrdM:&imgrefurl=http://www.medtipster.com/blog/%3Ftag%3Dprofessional-pharmacist&docid=Ln7mZnI79WpOSM&imgurl=http://www.medtipster.com/blog/wp-uploads/2011/07/Pharmacist.jpg&w=475&h=317&ei=FvX2UcOROqPiiwKO24CwBg&zoom=1&ved=1t:3588,r:56,s:0,i:266",56,google
pilot,129000,5289,77,8,0.041,0.103896104,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Is6icL8EpI6aNM:&imgrefurl=http://www.justjared.com/2013/02/01/charlize-theron-hatfields-mccoys-gets-pilot-director/&docid=LYHvF5BFrLL_YM&imgurl=http://cdn03.cdn.justjared.com/wp-content/uploads/headlines/2013/02/charlize-theron-hatfields-%2526-mccoys-gets-pilot-director.jpg&w=300&h=300&ei=5yX3Ua63H83WiAL97oDYAQ&zoom=1&ved=1t:3588,r:56,s:0,i:265",56,google
plumber,534000,6942,85,4,0.013,0.047058824,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=1yMd1Mku1-DVOM:&imgrefurl=http://www.123rf.com/photo_6318004_a-young-plumber-trainee-all-isolated-on-white-background.html&docid=YWtdXR_X9gbU5M&imgurl=http://us.123rf.com/400wm/400/400/kaarsten/kaarsten1001/kaarsten100100264/6318004-a-young-plumber-trainee-all-isolated-on-white-background.jpg&w=801&h=1200&ei=RiL3UfHiIIm4igLK_4CICA&zoom=1&ved=1t:3588,r:56,s:0,i:265",56,google
police officer,657000,82782,72,10,0.126,0.138888889,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=lpbuGPljKluqtM:&imgrefurl=http://commons.wikimedia.org/wiki/File:Female_Calgary_Police_officer.jpg&docid=tZ19VytSf-yddM&imgurl=http://upload.wikimedia.org/wikipedia/commons/5/54/Female_Calgary_Police_officer.jpg&w=2245&h=1691&ei=KPv2UfG9FcWqigLgjYGwBQ&zoom=1&ved=1t:3588,r:56,s:0,i:266",56,google
primary school teacher,2838000,2310132,78,56,0.814,0.717948718,woman|child,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=g6ymhUfET3EsnM:&imgrefurl=http://www.guardian.co.uk/education/mortarboard/2009/mar/10/fast-track-teaching-good-or-bad&docid=TA6PqIKVrRrtKM&imgurl=http://static.guim.co.uk/sys-images/Education/Pix/pictures/2008/06/25/math4.jpg&w=460&h=276&ei=Z-72UbfJKub6igL83YDgAw&zoom=1&ved=1t:3588,r:56,s:0,i:257",56,google
receptionist,1237000,1131855,81,78,0.915,0.962962963,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=meOmZW4z_dKtZM:&imgrefurl=http://www.femcap.net/contact-us.php&docid=nkmzyQtfmbe-aM&imgurl=http://www.femcap.net/images/FemCap-receptionist.jpg&w=283&h=345&ei=qR33UdzSF-OZiQLnrID4AQ&zoom=1&ved=1t:3588,r:56,s:0,i:266",56,google
security guard,903000,167055,95,5,0.185,0.052631579,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=0nO25rJEPbLqYM:&imgrefurl=http://www.picstopin.com/301/security-guard-in-blue-uniform-with-gun-stock-photo-2425497-/http:%257C%257Cimage*shutterstock*com%257Cdisplay_pic_with_logo%257C1109%257C1109,1167901846,1%257Cstock-photo-security-guard-in-blue-uniform-with-gun-2425497*jpg/&docid=DXWv9AJgG5q6eM&imgurl=http://unitedsupport.in/images/securitymen.jpg&w=1235&h=1270&ei=7Pv2UZmcKeGaiALr0oHADQ&zoom=1&ved=1t:3588,r:56,s:0,i:266",56,google
software developer,1084000,213548,81,12,0.197,0.148148148,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=e8qV1hdPp2tfOM:&imgrefurl=http://www.youcandomaths.com.au/software-developer.html&docid=1hYWNrnUZBkc7M&imgurl=http://www.youcandomaths.com.au/images/software-developer.jpg&w=300&h=250&ei=lND2UemQFqOtigLA2YH4Bw&zoom=1&ved=1t:3588,r:56,s:0,i:265",56,google
special ed teacher,366000,315492,86,67,0.862,0.779069767,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=3vGPzN3xgNYNGM:&imgrefurl=http://www.philly.com/philly/obituaries/20130209_Larry_Cardonick__80__special-ed_teacher.html&docid=gRl3YTFjgclH0M&imgurl=http://media.philly.com/images/526*395/020913_larrycardonick_600.jpg&w=526&h=395&ei=lu_2UeT4N4mdiQKQ1ICICg&zoom=1&ved=1t:3588,r:56,s:0,i:266",56,google
telemarketer,97000,48791,90,58,0.503,0.644444444,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=7swcrZu6J8lPEM:&imgrefurl=http://www.istockphoto.com/stock-illustration-22109267-telemarketer-call-center-operator-retro.php&docid=6N4I6ZknGhpiCM&imgurl=http://i.istockimg.com/file_thumbview_approve/22109267/2/stock-illustration-22109267-telemarketer-call-center-operator-retro.jpg&w=380&h=375&ei=4xv3UY-ACKerigL3soGYBg&zoom=1&ved=1t:3588,r:56,s:0,i:266",56,google
truck driver,3201000,172854,72,5,0.054,0.069444444,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/56.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=n7VCal3NAaWAtM:&imgrefurl=http://www.empowernetwork.com/enroll/blog/truck-driver-a-job-also-for-women/&docid=8CnFGaS_xJ9UEM&imgurl=http://www.empowernetwork.com/enroll/files/2012/05/supir.jpeg&w=300&h=448&ei=ZCf3UfLKMsaQigLD-oHQCA&zoom=1&ved=1t:3588,r:56,s:0,i:265",56,google
administrative assistant,2904000,2767512,78,72,0.953,0.923076923,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=kYXexuzeBAmmlM:&imgrefurl=http://www.lcpr.info/lesbullock.asp&docid=THZQ8z38H5c_7M&imgurl=http://www.lcpr.info/img/lesbullock.jpg&w=3072&h=2304&ei=Ih_3UYP7DuKaiAL18oHIBg&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
announcer,50000,11800,86,18,0.236,0.209302326,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=E43C6JmUJ6xuXM:&imgrefurl=http://www.shutterstock.com/pic-101258578/stock-photo-cartoon-illustration-of-a-circus-announcer.html&docid=ef8BCRkZmgb66M&imgurl=http://image.shutterstock.com/display_pic_with_logo/629773/101258578/stock-photo-cartoon-illustration-of-a-circus-announcer-101258578.jpg&w=450&h=470&ei=2PD2UZG8BOmciAKDl4GwBw&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
author,208000,115648,65,16,0.556,0.246153846,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Qis7zgiEUgIiYM:&imgrefurl=http://www.salon.com/2011/03/30/writer_sell_thyself/&docid=x25puCJ1qYgkKM&imgurl=http://media.salon.com/2011/03/author_sell_thyself.jpg&w=550&h=367&ei=KfP2UeztNM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
bartender,412000,246788,94,22,0.599,0.234042553,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=eFhdz1y2LdZV9M:&imgrefurl=http://www2.citypaper.com/bob/story.asp%3Fid%3D14410&docid=r-0Vl7V6j4uBiM&imgurl=http://www2.citypaper.com/sb/124032/BARTENDER_fh.jpg&w=575&h=383&ei=gv32UdrYJ8iWiALjt4DoCA&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
biologist,101000,50601,65,23,0.501,0.353846154,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=_0ADxbQMAD1JtM:&imgrefurl=http://www.123rf.com/photo_9264015_close-up-of-biologist-holding-new-plant-in-tube-isolated-on-white-background.html&docid=GRIgMP12QsGHlM&imgurl=http://us.123rf.com/400wm/400/400/justmeyo/justmeyo1104/justmeyo110400100/9264015-close-up-of-biologist-holding-new-plant-in-tube-isolated-on-white-background.jpg&w=804&h=1200&ei=qNL2UaL_Iu3figK7poCIAg&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
chef,403000,86645,91,22,0.215,0.241758242,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=WuMCFNUBT4vDfM:&imgrefurl=http://www.dolcedolce.com/%3Fp%3D7334&docid=3FnFjdgUd_m3OM&imgurl=http://www.dolcedolce.com/wp-content/uploads/bbk.jpg&w=1863&h=2805&ei=wvz2UbaoNq3biwL-l4GoCg&zoom=1&ved=1t:3588,r:57,s:0,i:268",57,google
chemist,105000,46410,77,41,0.442,0.532467532,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=nyQUD6j1QV1jgM:&imgrefurl=http://www.neocate.com/blog/what-makes-nutricia-special/&docid=0tJIuxRYK6eklM&imgurl=http://www.neocate.com/images/uploads/Images/Chemist.JPG&w=1280&h=852&ei=g-v2UdnVFur6igKKjICYBg&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
chief executive officer,1513000,414562,98,11,0.274,0.112244898,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=_jO5J1VL75r8xM:&imgrefurl=http://www.motorcycle-usa.com/568/3074/Motorcycle-Article/Harley-Davidson-Names-Keith-Wandell-New-CEO.aspx&docid=UTCT6PdBRJZwDM&imgurl=http://images.motorcycle-usa.com/PhotoGallerys/Keith-Wandell-Harley-CEO.jpg&w=1024&h=768&ei=knnzUazNDoe9igK784C4Aw&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
construction worker,1387000,40223,88,11,0.029,0.125,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ybxX2WOfshhO4M:&imgrefurl=http://www.dreamstime.com/royalty-free-stock-image-female-construction-worker-image18504586&docid=dhD2PbCaSBV5oM&imgurl=http://thumbs.dreamstime.com/z/female-construction-worker-18504586.jpg&w=738&h=900&ei=riD3Ud-oGM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
cook,1970000,742690,78,11,0.377,0.141025641,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=gfH4KXEr6engGM:&imgrefurl=http://www.familyfriendlygaming.com/Previews/2007/Previews%2520Cooking%2520Mama%2520Cook%2520Off.html&docid=Qyl31ByHq06CNM&imgurl=http://www.familyfriendlygaming.com/Previews/Box-shots/CookingMama%252520CookOffBox.jpg&w=1500&h=2118&ei=Hf32UeuCJ6iCiwK30oAY&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
customer service representative,1956000,1326168,80,55,0.678,0.6875,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=JY3_BDyjYmCFSM:&imgrefurl=http://todaycut.com/customer-service-interview-questions/&docid=hXRj4nnOohs8QM&imgurl=http://todaycut.com/wp-content/uploads/2013/07/customer-service-interview.jpg&w=322&h=344&ei=Mx33Ud-xAYPTiwLcz4DICw&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
garbage collector,106000,6996,35,2,0.066,0.057142857,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=us3Kk7QBZsujlM:&imgrefurl=http://www.betterworldbooks.com/a-day-in-the-life-of-a-garbage-collector-id-9780736846721.aspx&docid=dRkn-JGmbo2syM&imgurl=http://images.betterworldbooks.com/073/A-Day-in-the-Life-of-a-Garbage-Collector-9780736846721.jpg&w=408&h=400&ei=bSn3UZ7RGsr0iQL85oCwBw&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
housekeeper,1457000,1283617,82,76,0.881,0.926829268,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=YNc2PxvZqIjkuM:&imgrefurl=http://www.123rf.com/photo_14673652_housekeeper-on-her-knees-looking-at-the-camera.html&docid=UVrYCOXhuobXNM&imgurl=http://us.123rf.com/400wm/400/400/cboswell/cboswell1207/cboswell120700184/14673652-housekeeper-on-her-knees-looking-at-the-camera.jpg&w=1200&h=801&ei=5RX3UbSdFsybjALYjoD4Cw&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
insurance sales agent,540000,238140,84,40,0.441,0.476190476,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=hZaiF_Ga1_UA7M:&imgrefurl=http://www.linkedin.com/title/insurance%2Bsales%2Bagent/in-us-77-Greater-Philadelphia-Area/&docid=O1Un7laEq9Dg7M&itg=1&imgurl=http://m3.licdn.com/mpr/mpr/shrink_80_80/p/2/000/209/2a3/3a21f54.jpg&w=80&h=80&ei=Jhr3Uc6JEsj1igKq_4GwCQ&zoom=1&ved=1t:3588,r:57,s:0,i:266",57,google
librarian,181000,157108,65,62,0.868,0.953846154,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/librarian/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=humDE_mIDR_wbM:&imgrefurl=http://www.klaonline.org/downloads.cfm&docid=PIIw19wldjanRM&imgurl=http://www.klaonline.org/docs/SuperLibrarian.jpg&w=1964&h=2773&ei=C_D2UfOAOIGiiQL5jYH4CA&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
mail carrier,318000,119886,73,21,0.377,0.287671233,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=0sX1zYGqRubhRM:&imgrefurl=http://www.bgagraphics.com/civil_service/mail_carrier_1.html&docid=guiLE1NYSFoT-M&imgurl=http://www.bgagraphics.com/civil_service/mail_carrier_1samp2.gif&w=400&h=400&ei=mB73UbGzL4miiQKtuoD4Aw&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
nurse,2875000,2604750,89,86,0.906,0.966292135,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=axtT01jcjbzsqM:&imgrefurl=http://www.123rf.com/photo_8548817_young-female-nurse-with-surgeon-mask-and-scrub-smiling-happy-isolated-on-white-background-mixed-race.html&docid=GtoNbcKDKhP-JM&imgurl=http://us.123rf.com/400wm/400/400/maridav/maridav1012/maridav101200027/8548817-young-female-nurse-with-surgeon-mask-and-scrub-smiling-happy-isolated-on-white-background-mixed-race.jpg&w=801&h=1200&ei=_fb2UYywBeSQiAKv1oCIDw&zoom=1&ved=1t:3588,r:57,s:0,i:268",57,google
optician,54000,32184,70,48,0.596,0.685714286,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=lA7P75slBVbEkM:&imgrefurl=http://www.1010direct.com/how-to-order.aspx&docid=DOicwQJiDkGdCM&imgurl=http://www.1010direct.com/logos/optician.jpg&w=380&h=380&ei=T_n2UcilH8OjiALWlYGYBw&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
pilot,129000,5289,77,8,0.041,0.103896104,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=UpGyuLXcAONUFM:&imgrefurl=http://www.thepatientsafetyinitiative.com/doctors-don%25E2%2580%2599t-die-pilots-do-sometimes-and-parachutes-work&docid=kruKbgV-eihmgM&imgurl=http://www.thepatientsafetyinitiative.com/wp-content/uploads/2011/04/pilot_2.jpg&w=4288&h=2848&ei=5yX3Ua63H83WiAL97oDYAQ&zoom=1&ved=1t:3588,r:57,s:0,i:268",57,google
plumber,534000,6942,85,4,0.013,0.047058824,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=7sY8xtuOhEyMwM:&imgrefurl=http://www.greenwerkspro.com/why-finding-a-good-plumber-can-save-you-money-plumber-resources/&docid=4O6Y59EhSQzhJM&imgurl=http://www.greenwerkspro.com/wp-content/uploads/2012/06/Finding-A-Good-Plumber-e1340030369871.jpg&w=440&h=680&ei=RiL3UfHiIIm4igLK_4CICA&zoom=1&ved=1t:3588,r:57,s:0,i:268",57,google
police officer,657000,82782,72,10,0.126,0.138888889,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=cctG8yYwVptGkM:&imgrefurl=http://clipartist.net/svg/woman-police-officer-1-openclipart-org-commons-wikimedia-org/&docid=bIne47m6T_RFJM&imgurl=http://clipartist.info/Art/colouringbook/woman_police_officer_1-555px.png&w=555&h=1625&ei=KPv2UfG9FcWqigLgjYGwBQ&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
primary school teacher,2838000,2310132,78,56,0.814,0.717948718,woman|child,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=WvGhWYxB7o-YZM:&imgrefurl=http://stockfresh.com/image/91677/primary-school-teacher-helping-boy-learn-numbers&docid=Ml6Z1n2vzHobXM&imgurl=http://stockfresh.com/files/m/monkey_business/m/37/91677_stock-photo-primary-school-teacher-helping-boy-learn-numbers.jpg&w=400&h=267&ei=Z-72UbfJKub6igL83YDgAw&zoom=1&ved=1t:3588,r:57,s:0,i:260",57,google
receptionist,1237000,1131855,81,78,0.915,0.962962963,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ON-F1qncQ1ZWgM:&imgrefurl=http://www.123rf.com/photo_11365242_polite-pretty-asian-receptionist-with-headset.html&docid=RYsoIYQ6zDIkoM&imgurl=http://us.123rf.com/400wm/400/400/devas/devas1111/devas111100052/11365242-polite-pretty-asian-receptionist-with-headset.jpg&w=1200&h=801&ei=qR33UdzSF-OZiQLnrID4AQ&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
security guard,903000,167055,95,5,0.185,0.052631579,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=as8tBL91X66mEM:&imgrefurl=http://yaymicro.com/vector/security-guard-policeman-officer-with-shield/5041844&docid=_NxPJiMaxJhVeM&imgurl=http://image.yaymicro.com/rz_1210x1210/1/46/security-guard-policeman-officer-with-shield-10465c0.jpg&w=915&h=1210&ei=7Pv2UZmcKeGaiALr0oHADQ&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
software developer,1084000,213548,81,12,0.197,0.148148148,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=e5cSjuwOYQflEM:&imgrefurl=http://www.techmagnews.com/software-developer-of-sixth-sense-system-looks-to-give-away-technology.html&docid=dB_nR-P9GA1pqM&imgurl=http://www.techmagnews.com/wp-content/uploads/images/__Software_Developer_of_Sixth_Sense_System_Looks_to_Give_Away_Technology.jpg&w=580&h=580&ei=lND2UemQFqOtigLA2YH4Bw&zoom=1&ved=1t:3588,r:57,s:0,i:268",57,google
special ed teacher,366000,315492,86,67,0.862,0.779069767,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=pbehseaFr1lM2M:&imgrefurl=http://www.dailyunconstitutional.com/teacher-rapes-10-yo-special-ed-student-then-says-sorry-i-was-too-roughbut-its-normal/&docid=dFc-T7UKt0pJWM&imgurl=http://www.dailyunconstitutional.com/wp-content/uploads/2013/06/special-education-teacher-rapes-student-ny-198x300.jpg&w=198&h=300&ei=lu_2UeT4N4mdiQKQ1ICICg&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
technical writer,58000,32190,40,14,0.555,0.35,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=nJBR2JSz8dGpKM:&imgrefurl=http://www.cnbc.com/id/45740721/device/xml/for/rawNO&docid=uOq8LBxhvzOmlM&imgurl=http://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2011/12/20/45740735-Technical-Writer-Easy-High-Paying-Jobs-CNBC.jpg&w=600&h=400&ei=q_L2UYWOJoeUiQKKz4CgDQ&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
telemarketer,97000,48791,90,58,0.503,0.644444444,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/57.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=XxpL3w90eBBioM:&imgrefurl=http://www.123rf.com/photo_11116037_male-telemarketer-at-work.html&docid=i6TEYYW4leNenM&imgurl=http://us.123rf.com/400wm/400/400/auremar/auremar1111/auremar111100068/11116037-male-telemarketer-at-work.jpg&w=1200&h=801&ei=4xv3UY-ACKerigL3soGYBg&zoom=1&ved=1t:3588,r:57,s:0,i:269",57,google
administrative assistant,2904000,2767512,78,72,0.953,0.923076923,woman,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/58.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=MdyHVCYRmPoJYM:&imgrefurl=http://www.alextech.edu/AdministrativeAssistant&docid=Ht7hGBKGwCMsYM&imgurl=http://www.alextech.edu/Libraries/Administrative_Assistant_Images/Administrative_Assistant_Focal_1.sflb.ashx&w=536&h=250&ei=Ih_3UYP7DuKaiAL18oHIBg&zoom=1&ved=1t:3588,r:58,s:0,i:272",58,google
announcer,50000,11800,86,18,0.236,0.209302326,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/58.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=llQQ6ke_RU6FTM:&imgrefurl=http://www.bbc.co.uk/academy/collegeofproduction/videos/radio/chris_aldridge_announcer_radio&docid=6WGW6IsxQjq3gM&imgurl=http://downloads.bbc.co.uk/academy/collegeofproduction/images/chris_aldridge_announcer_radio_640x360.jpg&w=640&h=360&ei=2PD2UZG8BOmciAKDl4GwBw&zoom=1&ved=1t:3588,r:58,s:0,i:272",58,google
bartender,412000,246788,94,22,0.599,0.234042553,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/58.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=pgYa-B045LJEdM:&imgrefurl=http://www.lehighvalleylive.com/food/index.ssf/2012/07/bartender_of_the_week_tim_coso.html&docid=sOjMbXc5B10N4M&imgurl=http://media.lehighvalleylive.com/food_impact/photo/tim-cosover-bartender-at-bethlehem-brew-workssteelgaarden-d246a258f4249d01.jpg&w=681&h=1024&ei=gv32UdrYJ8iWiALjt4DoCA&zoom=1&ved=1t:3588,r:58,s:0,i:272",58,google
biologist,101000,50601,65,23,0.501,0.353846154,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/58.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=53_ggiPQ72XKSM:&imgrefurl=http://oceana.org/en/news-media/publications/oceana-magazine/spring-2010/departments/q-a-shark-biologist-michelle-mccomb&docid=hwtTRVrvcV_-_M&imgurl=http://oceana.org/sites/default/files/magazine/Shark-Biologist-Michelle-McComb.jpg&w=293&h=428&ei=qNL2UaL_Iu3figK7poCIAg&zoom=1&ved=1t:3588,r:58,s:0,i:272",58,google
chef,403000,86645,91,22,0.215,0.241758242,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/58.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Tz3VHF54EuTXvM:&imgrefurl=http://sleekcakes.blogspot.com/2013/06/pizzaiolo-o-chef.html&docid=oy1rJfwL2tjv2M&imgurl=http://2.bp.blogspot.com/-DAqGjxe2O00/Ubbk1uDWQbI/AAAAAAAAAGg/OGkXfR8eqWM/s200/Hirota_Chef_japon_s.jpg&w=1246&h=1600&ei=wvz2UbaoNq3biwL-l4GoCg&zoom=1&ved=1t:3588,r:58,s:0,i:271",58,google
